ANNO,ASL,PROVINCIA,COD_ENTE,COD_STRUTTURA,COD_SUB,DENOM_STRUTTURA,COD_TIPO_STR,DESCR_TIPO_STR,PUBBL_PRIV,COD_DISCIPLINA,DESCR_DISCIPLINA,AREA,TIPO_DEGENZA,MESI_DEG_ORD,MEDIA_LETTI_DEG_ORD,Posti_letto_ORD_attivati_al_31_12,MESI_DH,MEDIA_LETTI_DH_DS,Posti_letto_DH_DS_attivati_al_31_12
2020,324,MB,324,030109,,CASA DI CURA VILLA BIANCA - LIMBIATE,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,02,DAY HOSPITAL,Area medica,Acuti,0,0,0,12,1,0
2020,323,SO,713,030044,,OSPEDALE DI CHIAVENNA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,26,MEDICINA GENERALE,Area medica,Acuti,12,15,0,12,1,0
2020,325,BG,720,030133,,OSPEDALE PESENTI FENAROLI - ALZANO L.,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,64,ONCOLOGIA,Area medica,Acuti,9,8.22,12,2,4,4
2020,324,LC,324,030033,,CASA DI CURA BEATO L.TALAMONI-LECCO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,36,ORTOPEDIA E TRAUMATOLOGIA,Area chirurgica,Acuti,8,12.63,0,12,3.5,0
2020,324,LC,715,030024,,OSPEDALE DI CIRCOLO S.L.MANDIC-MERATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,50,UNITA' CORONARICA,Area medica,Acuti,11,4.82,0,0,0,0
2020,321,MI,947,030947,,I.R.C.C.S. POLICLINICO SAN DONATO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,12,CHIRURGIA PLASTICA,Area chirurgica,Acuti,12,3.33,4,11,1,1
2020,321,LO,709,030080,,OSPEDALE ROSSI - CASALPUSTERLENGO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,26,MEDICINA GENERALE,Area medica,Acuti,11,7,,0,0,
2020,326,BS,326,030175,,CASA DI CURA S. CAMILLO - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,37,OSTETRICIA E GINECOLOGIA,Area chirurgica,Acuti,0,0,0,0,0,0
2020,328,PV,945,030945,,IRCCS ISTITUTO SCIENTIFICO DI PAVIA,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,56,RECUPERO E RIABILITAZIONE FUNZIONALE,Area medica,Riab,3,44,,0,0,
2020,321,MI,705,030281,01,OSPEDALE CIVILE DI LEGNANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,49,TERAPIA INTENSIVA,Area medica,Acuti,12,20,34,0,0,0
2020,326,BS,721,030159,,PRESIDIO OSPEDALIERO DI MONTICHIARI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,64,ONCOLOGIA,Area medica,Acuti,0,0,0,5,1,1
2020,321,LO,709,030079,,OSPEDALE CIVICO - CODOGNO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,08,CARDIOLOGIA,Area medica,Acuti,0,0,0,12,1,1
2020,321,MI,706,030066,,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,40,PSICHIATRIA,Area medica,Acuti,11,12.82,15,0,0,0
2020,327,CR,724,030908,,OSPEDALE DI CREMONA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,64,ONCOLOGIA,Area medica,Acuti,12,21.25,14,12,3,3
2020,328,PV,945,030945,,IRCCS ISTITUTO SCIENTIFICO DI PAVIA,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,priv,24,MALATTIE INFETTIVE E TROPICALI,Area medica,Acuti,3,5,,0,0,
2020,325,BG,719,030131,,OSPEDALE DI TREVIGLIO E CARAVAGGIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,26,MEDICINA GENERALE,Area medica,Acuti,10,33.2,108,8,1,1
2020,326,BS,721,030167,,OSPEDALE DEI BAMBINI - BRESCIA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,33,NEUROPSICHIATRIA INFANTILE,Area medica,Acuti,12,14.75,16,5,1.8,2
2020,322,VA,710,030901,01,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,34,OCULISTICA,Area chirurgica,Acuti,12,2.17,1,12,1,4
2020,326,BS,326,030295,,FONDAZIONE POLIAMBULANZA - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,34,OCULISTICA,Area chirurgica,Acuti,12,4,4,0,0,0
2020,325,BG,325,030146,,CASA DI CURA S. FRANCESCO - BERGAMO,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,24,MALATTIE INFETTIVE E TROPICALI,Area medica,Acuti,5,68,46,0,0,0
2020,321,MI,701,030913,,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,68,PNEUMOLOGIA,Area medica,Acuti,12,9.42,53,0,0,0
2020,325,BG,325,030143,,HUMANITAS GAVAZZENI,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,14,CHIRURGIA VASCOLARE,Area chirurgica,Acuti,12,6.33,7,0,0,0
2020,325,BG,325,030143,,HUMANITAS GAVAZZENI,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,98,DAY SURGERY,Area chirurgica,Acuti,0,0,0,12,8,8
2020,327,CR,724,030273,,OSPEDALE OGLIO PO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,37,OSTETRICIA E GINECOLOGIA,Area chirurgica,Acuti,9,2.56,4,12,2,2
2020,322,CO,712,030902,,OSPEDALE S. ANNA - COMO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,pubb,49,TERAPIA INTENSIVA,Area medica,Acuti,10,30,35,0,0,0
2020,328,PV,328,030202,,IST.DI CURA CITTA'DI PAVIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,priv,56,RECUPERO E RIABILITAZIONE FUNZIONALE,Area medica,Riab,12,38.08,38,0,0,0
